===== TRADE LOG DETAIL =====

Action  Symbol   Date              Price     Quantity        Value (VND)          PnL (VND)      PnL%%
BUY     BID      2024-07-29        38.50         2522         97,097,000                  0      0.00%
SELL    BID      2024-08-01        38.25         2522         96,466,500           -630,500     -0.65%
BUY     BID      2024-08-09        38.17         2527         96,455,585                  0      0.00%
SELL    BID      2024-08-15        38.13         2527         96,354,515           -101,072     -0.10%
BUY     BID      2024-09-17        39.80         2421         96,355,796                  0      0.00%
SELL    BID      2024-09-30        40.62         2421         98,341,015          1,985,219      2.06%
BUY     BID      2024-10-09        40.42         2433         98,341,859                  0      0.00%
SELL    BID      2024-10-21        40.58         2433         98,731,140            389,288      0.40%
BUY     BID      2024-10-29        38.86         2541         98,743,257                  0      0.00%
SELL    BID      2024-12-03        37.64         2541         95,643,242         -3,100,023     -3.14%
BUY     BID      2025-02-06        39.36         2430         95,644,804                  0      0.00%
SELL    BID      2025-02-12        39.56         2430         96,130,804            486,001      0.51%
BUY     BID      2025-03-07        40.70         2362         96,133,398                  0      0.00%
SELL    BID      2025-04-21        34.86         2362         82,339,320        -13,794,080    -14.35%
BUY     BID      2025-06-12        34.91         2358         82,317,781                  0      0.00%
SELL    BID      2025-06-25        35.46         2358         83,614,679          1,296,898      1.58%
BUY     BID      2025-08-04        37.63         2222         83,613,859                  0      0.00%
SELL    BID      2025-08-15        40.55         2222         90,102,101          6,488,236      7.76%
BUY     BID      2025-09-12        40.50         2225         90,112,500                  0      0.00%
SELL    BID      2025-10-14        39.60         2225         88,110,000         -2,002,503     -2.22%
BUY     BID      2025-10-24        36.90         2388         88,117,203                  0      0.00%
SELL    BID      2025-11-07        37.50         2388         89,550,000          1,432,796      1.63%
BUY     BID      2025-11-27        37.55         2385         89,556,750                  0      0.00%
SELL    BID      2025-12-08        37.50         2385         89,437,500           -119,248     -0.13%
BUY     BID      2025-12-16        37.40         2391         89,423,406                  0      0.00%
SELL    BID      2025-12-19        37.70         2391         90,140,703            717,298      0.80%
BUY     CTG      2023-02-06        18.35         5449         99,989,148                  0      0.00%
SELL    CTG      2023-03-14        17.80         5449         96,992,195         -2,996,956     -3.00%
BUY     CTG      2023-03-23        17.62         5505         96,998,101                  0      0.00%
SELL    CTG      2023-04-06        18.14         5505         99,860,695          2,862,592      2.95%
BUY     CTG      2023-04-24        17.74         5629         99,858,460                  0      0.00%
SELL    CTG      2023-06-08        17.52         5629         98,620,085         -1,238,376     -1.24%
BUY     CTG      2023-07-10        18.23         5410         98,624,296                  0      0.00%
SELL    CTG      2023-07-13        18.41         5410         99,598,101            973,801      0.99%
BUY     CTG      2023-07-24        18.32         5436         99,587,515                  0      0.00%
SELL    CTG      2023-08-10        19.43         5436        105,621,484          6,033,963      6.06%
BUY     CTG      2023-08-24        19.49         5419        105,616,312                  0      0.00%
SELL    CTG      2023-09-08        19.83         5419        107,458,773          1,842,460      1.74%
BUY     CTG      2023-09-13        19.98         5379        107,472,414                  0      0.00%
SELL    CTG      2023-10-25        17.80         5379         95,746,195        -11,726,222    -10.91%
BUY     CTG      2023-11-02        17.34         5521         95,734,140                  0      0.00%
SELL    CTG      2023-11-17        18.23         5521        100,647,828          4,913,686      5.13%
BUY     CTG      2023-12-20        18.21         5528        100,664,875                  0      0.00%
SELL    CTG      2024-01-15        21.54         5528        119,073,125         18,408,250     18.29%
BUY     CTG      2024-02-05        23.25         5121        119,063,250                  0      0.00%
SELL    CTG      2024-02-19        24.28         5121        124,337,882          5,274,633      4.43%
BUY     CTG      2024-03-05        25.00         4973        124,325,000                  0      0.00%
BUY     CTG      2024-04-24        22.60            1             22,600                  0      0.00%
SELL    CTG      2024-05-13        22.15         4973        110,151,945        -14,173,052    -11.40%
SELL    CTG      2024-05-14        22.15            1             22,149               -450     -1.99%
BUY     CTG      2024-06-03        22.36         4927        110,167,726                  0      0.00%
SELL    CTG      2024-06-14        22.50         4927        110,857,500            689,777      0.63%
BUY     CTG      2024-07-01        21.95         5050        110,847,500                  0      0.00%
SELL    CTG      2024-07-10        22.22         5050        112,211,000          1,363,492      1.23%
BUY     CTG      2024-07-31        21.95         5112        112,208,406                  0      0.00%
SELL    CTG      2024-08-26        23.73         5112        121,307,757          9,099,354      8.11%
BUY     CTG      2024-09-18        24.49         4954        121,323,460                  0      0.00%
SELL    CTG      2024-10-01        25.03         4954        123,998,625          2,675,164      2.20%
BUY     CTG      2024-10-09        24.76         5008        123,998,078                  0      0.00%
SELL    CTG      2024-12-04        24.21         5008        121,243,671         -2,754,405     -2.22%
BUY     CTG      2025-01-13        25.86         4688        121,231,679                  0      0.00%
SELL    CTG      2025-02-12        27.78         4688        130,232,640          9,000,960      7.42%
BUY     CTG      2025-03-06        28.57         4558        130,222,062                  0      0.00%
BUY     CTG      2025-04-10        24.79            1             24,790                  0      0.00%
SELL    CTG      2025-05-16        26.75         4558        121,926,500         -8,295,558     -6.37%
SELL    CTG      2025-05-19        26.82            1             26,819              2,029      8.19%
BUY     CTG      2025-06-11        26.06         4679        121,934,734                  0      0.00%
SELL    CTG      2025-06-25        28.60         4679        133,819,406         11,884,664      9.75%
BUY     CTG      2025-07-30        31.69         4223        133,826,875                  0      0.00%
SELL    CTG      2025-08-11        32.58         4223        137,585,343          3,758,475      2.81%
BUY     CTG      2025-09-10        34.64         3972        137,590,078                  0      0.00%
SELL    CTG      2025-10-07        35.39         3972        140,569,078          2,979,000      2.17%
BUY     CTG      2025-10-28        33.88         4149        140,568,125                  0      0.00%
SELL    CTG      2025-11-24        33.74         4149        139,987,265           -580,857     -0.41%
BUY     DGC      2023-01-13        50.40         1984         99,993,601                  0      0.00%
SELL    DGC      2023-01-30        51.73         1984        102,632,320          2,638,716      2.64%
BUY     DGC      2023-02-15        47.48         2161        102,604,281                  0      0.00%
SELL    DGC      2023-03-16        46.06         2161         99,535,664         -3,068,616     -2.99%
BUY     DGC      2023-05-05        46.41         2145         99,549,453                  0      0.00%
SELL    DGC      2023-06-08        53.27         2145        114,264,148         14,714,701     14.78%
BUY     DGC      2023-07-04        58.51         1953        114,270,023                  0      0.00%
SELL    DGC      2023-07-18        63.92         1953        124,835,757         10,565,729      9.25%
BUY     DGC      2023-08-01        67.17         1858        124,801,859                  0      0.00%
SELL    DGC      2023-09-07        80.35         1858        149,290,296         24,488,442     19.62%
BUY     DGC      2023-09-28        84.78         1761        149,297,578                  0      0.00%
SELL    DGC      2023-11-15        84.87         1761        149,456,078            158,496      0.11%
BUY     DGC      2023-12-19        86.09         1736        149,452,234                  0      0.00%
SELL    DGC      2024-01-02        87.49         1736        151,882,640          2,430,402      1.63%
BUY     DGC      2024-01-16        87.21         1742        151,919,812                  0      0.00%
SELL    DGC      2024-02-23        93.27         1742        162,476,328         10,556,516      6.95%
BUY     DGC      2024-03-28       115.56         1406        162,477,359                  0      0.00%
SELL    DGC      2024-05-10       115.47         1406        162,350,828           -126,534     -0.08%
BUY     DGC      2024-06-11       113.79         1426        162,264,546                  0      0.00%
SELL    DGC      2024-06-24       116.22         1426        165,729,718          3,465,180      2.14%
BUY     DGC      2024-07-02       115.00         1441        165,715,000                  0      0.00%
SELL    DGC      2024-07-10       117.99         1441        170,023,593          4,308,587      2.60%
BUY     DGC      2024-07-25       103.53         1643        170,099,781                  0      0.00%
SELL    DGC      2024-08-23       105.30         1643        173,007,906          2,908,117      1.71%
BUY     DGC      2024-10-09       107.26         1613        173,010,390                  0      0.00%
SELL    DGC      2024-10-15       107.63         1613        173,607,187            596,802      0.34%
BUY     DGC      2024-10-28       103.06         1684        173,553,031                  0      0.00%
SELL    DGC      2024-11-15       105.58         1684        177,796,718          4,243,687      2.45%
BUY     DGC      2024-11-25       102.52         1735        177,872,187                  0      0.00%
SELL    DGC      2024-12-04       103.38         1735        179,364,296          1,492,101      0.84%
BUY     DGC      2025-01-15       104.72         1712        179,280,640                  0      0.00%
SELL    DGC      2025-03-04       107.31         1712        183,714,718          4,434,073      2.47%
BUY     DGC      2025-03-19       103.38         1777        183,706,250                  0      0.00%
BUY     DGC      2025-03-26       100.12            1            100,120                  0      0.00%
SELL    DGC      2025-04-29        87.19         1777        154,936,640        -28,769,622    -15.66%
SELL    DGC      2025-05-06        89.39            1             89,389            -10,730    -10.72%
BUY     DGC      2025-05-26        86.23         1797        154,955,312                  0      0.00%
SELL    DGC      2025-05-29        85.75         1797        154,092,750           -862,566     -0.56%
BUY     DGC      2025-07-23       101.27         1522        154,132,937                  0      0.00%
SELL    DGC      2025-08-11       101.85         1522        155,015,703            882,762      0.57%
BUY     DGC      2025-08-26        94.85         1634        154,984,890                  0      0.00%
SELL    DGC      2025-09-18        94.66         1634        154,674,453           -310,451     -0.20%
BUY     DGC      2025-10-06        88.91         1740        154,703,406                  0      0.00%
SELL    DGC      2025-10-15        91.02         1740        158,374,796          3,671,387      2.37%
BUY     DGC      2025-10-22        87.19         1816        158,337,046                  0      0.00%
SELL    DGC      2025-11-04        90.64         1816        164,602,234          6,265,194      3.96%
BUY     DGC      2025-12-02        92.74         1775        164,613,500                  0      0.00%
BUY     FPT      2023-02-08        50.49         1980         99,970,203                  0      0.00%
SELL    FPT      2023-02-22        50.86         1980        100,702,804            732,597      0.73%
BUY     FPT      2023-03-07        49.00         2055        100,695,000                  0      0.00%
SELL    FPT      2023-04-06        49.93         2055        102,606,148          1,911,150      1.90%
BUY     FPT      2023-05-04        48.81         2102        102,598,625                  0      0.00%
SELL    FPT      2023-05-22        51.30         2102        107,832,601          5,233,975      5.10%
BUY     FPT      2023-06-19        52.67         2048        107,868,156                  0      0.00%
SELL    FPT      2023-06-29        53.79         2048        110,161,921          2,293,765      2.13%
BUY     FPT      2023-07-04        54.10         2036        110,147,593                  0      0.00%
SELL    FPT      2023-07-19        56.78         2036        115,604,078          5,456,480      4.95%
BUY     FPT      2023-08-15        60.76         1903        115,626,273                  0      0.00%
SELL    FPT      2023-09-05        70.84         1903        134,808,515         19,182,236     16.59%
BUY     FPT      2023-10-02        68.21         1976        134,782,953                  0      0.00%
SELL    FPT      2023-11-17        66.60         1976        131,601,593         -3,181,361     -2.36%
BUY     FPT      2023-12-25        70.26         1873        131,596,984                  0      0.00%
SELL    FPT      2023-12-28        70.70         1873        132,421,093            824,110      0.63%
BUY     FPT      2024-01-04        71.14         1861        132,391,531                  0      0.00%
SELL    FPT      2024-02-15        76.11         1861        141,640,718          9,249,172      6.99%
BUY     FPT      2024-03-12        81.89         1730        141,669,703                  0      0.00%
SELL    FPT      2024-03-15        84.89         1730        146,859,703          5,190,000      3.66%
BUY     FPT      2024-03-21        85.04         1727        146,864,078                  0      0.00%
SELL    FPT      2024-05-08        95.87         1727        165,567,500         18,703,414     12.74%
BUY     FPT      2024-05-28       100.26         1651        165,529,265                  0      0.00%
SELL    FPT      2024-06-17       109.15         1651        180,206,656         14,677,389      8.87%
BUY     FPT      2024-07-03       111.01         1623        180,169,234                  0      0.00%
SELL    FPT      2024-07-09       116.52         1623        189,111,953          8,942,721      4.96%
BUY     FPT      2024-07-24       106.78         1772        189,214,156                  0      0.00%
SELL    FPT      2024-08-23       112.79         1772        199,863,875         10,649,724      5.63%
BUY     FPT      2024-09-12       112.12         1782        199,797,843                  0      0.00%
SELL    FPT      2024-09-23       113.56         1782        202,363,921          2,566,070      1.28%
BUY     FPT      2024-10-09       114.74         1764        202,401,359                  0      0.00%
SELL    FPT      2024-10-14       116.61         1764        205,700,046          3,298,684      1.63%
BUY     FPT      2024-10-28       114.32         1799        205,661,671                  0      0.00%
SELL    FPT      2024-11-14       115.25         1799        207,334,750          1,673,070      0.81%
BUY     FPT      2024-11-21       112.71         1840        207,386,390                  0      0.00%
SELL    FPT      2024-12-04       122.45         1840        225,308,000         17,921,596      8.64%
BUY     FPT      2024-12-31       130.13         1731        225,255,031                  0      0.00%
SELL    FPT      2025-03-10       118.87         1731        205,763,968        -19,491,064     -8.65%
BUY     FPT      2025-03-21       109.23         1884        205,789,328                  0      0.00%
SELL    FPT      2025-04-16        92.07         1884        173,459,875        -32,329,448    -15.71%
BUY     FPT      2025-06-03       100.18         1731        173,411,578                  0      0.00%
SELL    FPT      2025-06-18       100.70         1731        174,311,687            900,114      0.52%
BUY     FPT      2025-08-01       105.90         1646        174,311,406                  0      0.00%
SELL    FPT      2025-08-29       100.55         1646        165,505,312         -8,806,098     -5.05%
BUY     FPT      2025-10-03        92.44         1791        165,560,046                  0      0.00%
SELL    FPT      2025-11-04       102.24         1791        183,111,843         17,551,792     10.60%
BUY     FPT      2025-11-12        99.56         1839        183,090,828                  0      0.00%
BUY     GAS      2023-01-12        72.33         1382         99,960,062                  0      0.00%
SELL    GAS      2023-02-03        72.47         1382        100,153,539            193,479      0.19%
BUY     GAS      2023-03-01        72.40         1383        100,129,203                  0      0.00%
SELL    GAS      2023-03-15        73.71         1383        101,940,929          1,811,726      1.81%
